開催日,格,レース名,競馬場,距離,馬名,父,母,母父,馬主,生産牧場,セリ結果,写真URL
2026/02/10,,ゆりかもめ賞（3歳1勝クラス）,東京,芝2400m,スカイスプレンダー,サートゥルナーリア,メジロスプレンダー,シンボリクリスエス,シルクレーシング,レイクヴィラファーム,,
2026/02/10,,初音ステークス（4歳以上3勝クラス）,東京,芝1800m,テリオスララ,シスキン,シャンドランジュ,マンハッタンカフェ,鈴木　美江子,ノーザンファーム,"5,280万円（セレクトセール）",
2026/02/10,G3,東京新聞杯,東京,芝1600m,トロヴァトーレ,レイデオロ,シャルマント,エンパイアメーカー,サンデーレーシング,ノーザンファーム,,
2026/02/10,,石清水ステークス（4歳以上3勝クラス）,京都,芝1600m,ミニトランザット,エピファネイア,イチオクノホシ,ゼンノロブロイ,谷掛　龍夫,社台ファーム,"6,160万円（セレクトセール）",
2026/02/14,,3歳新馬,京都,ダ1800m,リアンドゥクール,キズナ,ストリートバンド,Istan,岩崎　伸道,レイクヴィラファーム,,
2026/02/14,,3歳未勝利,東京,芝1800m,ダーリングハースト,エピファネイア,フォエヴァーダーリング,Congrats,サンデーレーシング,ノーザンファーム,,
2026/02/14,,3歳未勝利,小倉,芝2000m,ノンブルドール,レイデオロ,オーロトラジェ,オルフェーヴル,キャロットファーム,ノーザンファーム,"2,200万円（セレクトセール）",
2026/02/14,,3歳未勝利,京都,芝1800m,ブラックシャリマー,キタサンブラック,フォークレジェンド,Tapizar,ＫＲジャパン,前谷牧場,,
2026/02/14,,3歳未勝利,小倉,ダ1700m,ペンダント,オルフェーヴル,スパイラルステップ,シンボリクリスエス,石川　達絵,レイクヴィラファーム,,
2026/02/14,,3歳未勝利,東京,ダ1600m,リアライズタキオン,ルヴァンスレーヴ,タイムハンドラー,ディープブリランテ,今福　洋介,社台コーポレーション白老ファーム,"4,950万円（セレクトセール）",
2026/02/14,,4歳上1勝クラス,東京,芝1600m,エルマーゴ,サートゥルナーリア,ホーリーウーマン,Tawqeet,長谷川　祐司,アスラン,"7,040万円（セレクトセール）",
2026/02/14,,4歳上2勝クラス,京都,ダ1900m,ロカヒ,キズナ,テンモース,Speightstown,前田　幸治,ノースヒルズ,,
2026/02/14,G3,デイリー杯クイーンカップ,東京,芝1600m,ドリームコア,キズナ,ノームコア,ハービンジャー,吉田　勝己,ノーザンファーム,,
2026/02/14,,箱根特別（4歳以上2勝クラス）,東京,芝2400m,レッドバンデ,キズナ,フィオドラ,Lord of England,東京ホースレーシング,社台ファーム,"3,190万円（セレクトセール）",
2026/02/15,,3歳1勝クラス,東京,ダ1600m,ロンギングフォユー,ナダル,クールデザイン,ディープインパクト,坂本　浩一,社台ファーム,"3,960万円（セレクトセール）",
2026/02/15,,3歳新馬,東京,ダ1600m,タイセイジェイド,クリソベリル,クレイジーアクセル,ロージズインメイ,田中　成奉,天羽　禮治,"2,860万円（北海道セレクションセール）",
2026/02/15,,3歳新馬,京都,ダ1200m,ハノハノ,モーリス,エリモハルカ,ナリタトップロード,ニッシンホールディングス,チャンピオンズファーム,,
2026/02/15,,3歳未勝利,京都,ダ1800m,ガウラディスコ,クリソベリル,ガウラミディ,フリオーソ,村上　憲政,岡田牧場,,
2026/02/15,,3歳未勝利,東京,ダ1300m,ジャックナダル,ナダル,ブロッサムレーン,New Approach,辻　高史,クラウン日高牧場,"1,650万円（北海道セレクションセール）",
2026/02/15,,3歳未勝利,京都,芝2000m,ピカキウイ,エピファネイア,ゴーマギーゴー,Ghostzapper,藤田　晋,ノーザンファーム,"14,300万円（セレクトセール）",
2026/02/15,,4歳上1勝クラス,東京,芝2400m,ティムール,キズナ,ホワイトローズ２,Tapit,前田　幸治,社台ファーム,"7,480万円（セレクトセール）",
2026/02/15,,4歳上1勝クラス,小倉,ダ1700m,マーウォルス,アドマイヤマーズ,ウェイクミーアップ,Rock of Gibraltar,サンデーレーシング,坂東牧場,,
2026/02/15,,4歳上2勝クラス,東京,芝1600m,エフォートレス,エピファネイア,ブライトガーランド,ダイワメジャー,ライオンレースホース,秋場牧場,,
2026/02/15,G2,京都記念,京都,芝2200m,ジューンテイク,キズナ,アドマイヤサブリナ,シンボリクリスエス,吉川　潤,ヒダカフアーム,,
2026/02/15,G3,共同通信杯,東京,芝1800m,リアライズシリウス,ポエティックフレア,レッドミラベル,ステイゴールド,今福　洋介,社台ファーム,"4,400万円（セレクトセール）",
2026/02/15,OP,北九州短距離ステークス,小倉,芝1200m,ジョーメッドヴィン,ドレフォン,ジョーアラマート,キングヘイロー,上田　江吏子,山際牧場,,
2026/02/15,,太宰府特別（4歳以上2勝クラス）,小倉,芝2000m,マトラコーニッシュ,サートゥルナーリア,エアマスカット,ジャングルポケット,社台レースホース,猿倉牧場,,
2026/02/21,,3歳新馬,阪神,ダ1800m,エイコーンドリーム,ルヴァンスレーヴ,エイコーンウィル,キングカメハメハ,ローレルレーシング,杵臼牧場,,
2026/02/21,,3歳未勝利,阪神,ダ1200m,コマチチャン,キズナ,シュウギン,スウェプトオーヴァーボード,盛　学志,チャンピオンズファーム,"2,530万円（セレクトセール）",
2026/02/21,,3歳未勝利,阪神,芝2400m,サガルマータ,コントレイル,コンヴィクション２,City Banker,前田　幸治,ノーザンファーム,"57,200万円（セレクトセール）",
2026/02/21,,3歳未勝利,小倉,ダ1700m,ジャイアンバローズ,クリソベリル,サトノアイビス,Bodemeister,猪熊　広次,下河辺牧場,,
2026/02/21,,3歳未勝利,東京,ダ1400m,スーパーガール,ドレフォン,パワースポット,スズカマンボ,是枝　浩平,グランド牧場,,
2026/02/21,,3歳未勝利,阪神,ダ1800m,チェリヴェント,コントレイル,クリアリーコンフューズド,Successful Appeal,中村　忠彦,ノースヒルズ,,
2026/02/21,,3歳未勝利,東京,芝1600m,マツリダイコ,キタサンブラック,サラフィナ,Refuse To Bend,吉田　千津,社台ファーム,,
2026/02/21,,3歳未勝利,小倉,芝1800m,レッドラージャ,コントレイル,ボインビューティー,Giant's Causeway,東京ホースレーシング,ノーザンファーム,,
2026/02/21,,4歳上1勝クラス,東京,ダ1600m,ルヴァレドクール,ルヴァンスレーヴ,アルマユディト,ヨハネスブルグ,吉田　晴哉,山際牧場,,
2026/02/21,,4歳上1勝クラス,阪神,芝1600m,レッドフェルメール,エピファネイア,インディゴブルー,ロードカナロア,東京ホースレーシング,社台牧場,,
2026/02/21,,4歳上2勝クラス,阪神,ダ1800m,サトミノエンジェル,マインドユアビスケッツ,アーキタイプ,ディープインパクト,田代　洋己,下河辺牧場,,
2026/02/21,,4歳上2勝クラス,東京,芝1800m,マイネルトルファン,オルフェーヴル,マイネテレジア,ロージズインメイ,サラブレッドクラブ・ラフィアン,ビッグレッドファーム,,
2026/02/21,,あざみ賞（3歳1勝クラス）,小倉,芝1200m,アンジュプロミス,ドレフォン,サンビスタ,スズカマンボ,竹下　浩一,グランド牧場,,
2026/02/21,G3,ダイヤモンドステークス,東京,芝3400m,スティンガーグラス,キズナ,ライフフォーセール,Not For Sale,エムズレーシング,ノーザンファーム,"12,650万円（セレクトセール）",
2026/02/21,,金蹄ステークス（4歳以上3勝クラス）,東京,ダ2100m,レッドプロフェシー,ルーラーシップ,トリニティプレイス,マンハッタンカフェ,東京ホースレーシング,下河辺牧場,,
2026/02/21,,鳴門ステークス（4歳以上3勝クラス）,阪神,ダ1400m,ベルジュロネット,ロードカナロア,ベルカント,サクラバクシンオー,前田　晋二,ノースヒルズ,,
2026/02/22,,3歳1勝クラス,東京,芝1600m,ゴーラッキー,キタサンブラック,ジェットセッティング,Fast Company,吉田　和美,ノーザンファーム,,
2026/02/22,,3歳新馬,阪神,ダ1400m,ゼンカイナダル,ナダル,エイコオウイング,アフリート,木村　直樹,萩澤　泰博,,
2026/02/22,,3歳未勝利,阪神,ダ1800m,アーネストアイズ,ルヴァンスレーヴ,バーグアンノール,キングカメハメハ,鈴木　康弘,矢野牧場,"2,420万円（北海道セレクションセール）",
2026/02/22,,3歳未勝利,東京,ダ2100m,バスキュール,ナダル,レティキュール,ハーツクライ,サンデーレーシング,ノーザンファーム,,
2026/02/22,,3歳未勝利,阪神,芝2000m,ロングトールサリー,キタサンブラック,グローバルビューティ,Global Hunter,エムズレーシング,ノーザンファーム,"11,550万円（セレクトセール）",
2026/02/22,,4歳上1勝クラス,東京,芝1800m,シャンソンドール,レイデオロ,ベルディーヴァ,ダイワメジャー,キャロットファーム,ノーザンファーム,,
2026/02/22,,4歳上1勝クラス,阪神,芝2400m,ファームツエンティ,キズナ,ダノンエレガント,ブライアンズタイム,ウエストヒルズ,千代田牧場,"3,850万円（セレクトセール）",
2026/02/22,,4歳上2勝クラス,東京,ダ2100m,アカデミア,キズナ,ロクセラーナ,キングカメハメハ,近藤　英子,ノーザンファーム,,
2026/02/22,,ジャパンカップ２０２５年ロンジンワールドベストレース受賞記念（4歳以上3勝クラス）,東京,芝2000m,サクラファレル,サートゥルナーリア,サクラレーヌ,シンボリクリスエス,さくらコマース,谷岡牧場,,
2026/02/22,G1,フェブラリーステークス,東京,ダ1600m,コスタノヴァ,ロードカナロア,カラフルブラッサム,ハーツクライ,吉田　勝己,ノーザンファーム,,https://lh3.googleusercontent.com/d/1YxhHxzZ8XqUdqCLJ2stY_14E9Aay3n8j=w1000
2026/02/22,OP,令月ステークス,阪神,ダ1200m,コンクイスタ,ロードカナロア,ドリームオブジェニー,Pivotal,ターフ・スポート,谷川牧場,,
2026/02/22,,和布刈特別（4歳以上2勝クラス）,小倉,ダ1700m,タイセイミッション,キタサンブラック,パクスアジアーナ,ノヴェリスト,田中　成奉,天羽牧場,"2,860万円（北海道セレクションセール）",
2026/02/22,,大島特別（4歳以上2勝クラス）,東京,ダ1400m,アスクアイルビゼア,キズナ,キョウエイカルラ,アフリート,廣崎利洋ＨＤ,モリナガファーム,,
2026/02/22,,戎橋ステークス（4歳以上3勝クラス）,阪神,芝1400m,アイサンサン,キズナ,ウアジェト,シンボリクリスエス,岡　浩二,サンデーヒルズ,,
2026/02/28,,3歳1勝クラス,中山,芝1800m,フロレセール,レイデオロ,クレアドール,ハーツクライ,シルクレーシング,ハシモトフアーム,,
2026/02/28,,3歳未勝利,阪神,ダ1800m,テーオーカイザー,キタサンブラック,リーグルメアリー,Afternoon Deelites,小笹　公也,ヤナガワ牧場,,
2026/02/28,,3歳未勝利,中山,ダ1200m,リゾートライン,ドレフォン,インバウンド,ロードカナロア,保坂　和孝,アスラン,,
2026/02/28,,4歳上1勝クラス,中山,ダ1800m,グロスビーク,シスキン,アドマイヤセプター,キングカメハメハ,キャロットファーム,ノーザンファーム,,
2026/02/28,,4歳上1勝クラス,小倉,芝2000m,マテンロウシルビア,ルーラーシップ,パーシーズベスト,ディープインパクト,寺田　千代乃,ノーザンファーム,"4,620万円（セレクトセール）",
2026/02/28,,4歳上2勝クラス,中山,ダ1800m,メリークリスマス,ルヴァンスレーヴ,ローゼクヴァルツ,スペシャルウィーク,保坂　和孝,ヒダカフアーム,,
2026/02/28,L,仁川ステークス,阪神,ダ2000m,ジューンアヲニヨシ,キズナ,オールブランニュー,ノボジャック,吉川　潤,ヒダカフアーム,,
2026/02/28,,脊振山特別（4歳以上1勝クラス）,小倉,芝2600m,バースライト,モーリス,エリティエール,ディープインパクト,キャロットファーム,ノーザンファーム,,
2026/02/28,,障害4歳上未勝利,小倉,障2860m,ホウオウプロサンゲ,キズナ,セルキス,Monsun,小笹　芳央,ノーザンファーム,"45,100万円（セレクトセール）",
2026/03/01,,3歳1勝クラス,阪神,芝2000m,コンジェスタス,コントレイル,キラモサ,Alamosa,シルクレーシング,ノーザンファーム,,
2026/03/01,,3歳1勝クラス,中山,ダ1800m,チャーリー,クリソベリル,ジャンナスキッキ,War Front,嶋田　一成,辻　牧場,"3,850万円（セレクトセール）",
2026/03/01,,3歳1勝クラス,阪神,ダ1800m,メルカントゥール,ルヴァンスレーヴ,セラドン,ゴールドヘイロー,フォレストレーシング,ノーザンファーム,"7,480万円（セレクトセール）",
2026/03/01,,3歳1勝クラス,中山,芝1600m,ロデオドライブ,サートゥルナーリア,ビバリーヒルズ,スニッツェル,吉田　勝己,ノーザンファーム,,
2026/03/01,,3歳未勝利,中山,ダ1800m,アトラステソーロ,キタサンブラック,パリテソーロ,デクラレーションオブウォー,了徳寺健二ホールディングス,リョーケンファーム,,
2026/03/01,,3歳未勝利,阪神,ダ1400m,アーディアイリ,クリソベリル,オースミマコ,フレンチデピュティ,村上　憲政,岡田牧場,440万円（北海道セプテンバーセール）,
2026/03/01,,3歳未勝利,小倉,芝1800m,エクリュ,レイデオロ,ファミーユボヌール,マンハッタンカフェ,原　禮子,長浜牧場,,
2026/03/01,,3歳未勝利,阪神,ダ2000m,シャローファースト,クリソベリル,ミセスワタナベ,Tapizar,ＳＡレーシング,ノーザンファーム,"8,800万円（セレクトセール）",
2026/03/01,,3歳未勝利,阪神,芝2000m,ショウナンバンライ,オルフェーヴル,シュガーショック,Candy Ride,国本　哲秀,ノーザンファーム,"22,000万円（セレクトセール）",
2026/03/01,,3歳未勝利,小倉,ダ1700m,ジュンプリメーロ,キタサンブラック,ジュントップヒトミ,ゼンノロブロイ,河合　純二,ノーザンファーム,,
2026/03/01,,3歳未勝利,阪神,ダ1800m,モスカテル,キズナ,ベネンシアドール,キングカメハメハ,吉田　勝己,ノーザンファーム,,
2026/03/01,,4歳上1勝クラス,小倉,ダ1700m,セボンサデッセ,ルヴァンスレーヴ,チャームクォーク,クロフネ,フィールドレーシング,ノーザンファーム,"2,860万円（セレクトセール）",
2026/03/01,,4歳上1勝クラス,中山,ダ1800m,パースウェイド,ナダル,スアデラ,ゴールドアリュール,社台レースホース,社台コーポレーション白老ファーム,,
2026/03/01,,4歳上1勝クラス,阪神,芝1800m,レベルスルール,イスラボニータ,ロックディスタウン,オルフェーヴル,サンデーレーシング,社台コーポレーション白老ファーム,,
2026/03/01,,4歳上1勝クラス,小倉,ダ1700m,ヴァリオーサ,エピファネイア,ディヴィナプレシオーサ,Crocker Road,Ｇ１レーシング,追分ファーム,,
2026/03/01,,4歳上1勝クラス,小倉,芝1200m,ヴィヴァクラウン,サトノクラウン,セトノフラッパー,タイキシャトル,西村　有人,滝本　健二,"1,650万円（北海道サマーセール）",
2026/03/01,,唐戸特別（4歳以上1勝クラス）,小倉,芝2000m,ジャスティンガルフ,エピファネイア,ポールポジションII,Pivotal,三木　正浩,三嶋牧場,,
2026/03/01,,山陽特別（4歳以上2勝クラス）,阪神,芝2200m,ダノンジョーカー,ロードカナロア,ラコロネル,Colonel John,ダノックス,ケイアイファーム,,
2026/03/01,,西日本新聞杯（4歳以上2勝クラス）,小倉,芝1200m,モーデン,モーリス,マートンパーク,フレンチデピュティ,ＹＧＧホースクラブ,下河辺牧場,,
2026/03/07,,3歳未勝利,阪神,芝2400m,カットソロ,コントレイル,スルターナ,キングヘイロー,藤田　晋,村田牧場,"5,500万円（セレクトセール）",
2026/03/07,,3歳未勝利,中山,芝2000m,サムシングスイート,サートゥルナーリア,サムシングジャスト,ヴィクトワールピサ,グリーンファーム,那須野,,
2026/03/07,,3歳未勝利,阪神,ダ1800m,ストラーダ,ルヴァンスレーヴ,スイートジュエリー,キングカメハメハ,スリーエイチレーシング,下河辺牧場,,
2026/03/07,,なにわステークス（4歳以上3勝クラス）,阪神,ダ1200m,ショウナンアビアス,ドレフォン,ショウナンカサロ,キングカメハメハ,国本　哲秀,西村牧場,,
2026/03/07,G3,ローレル競馬場賞中山牝馬ステークス,中山,芝1800m,エセルフリーダ,キタサンブラック,デルマオギン,ハービンジャー,高橋　文男,社台ファーム,"1,540万円（セレクトセール）",
2026/03/07,,上総ステークス（4歳以上3勝クラス）,中山,ダ1800m,マーズオデッセイ,アドマイヤマーズ,クイックリトルミス,Freud,Ｇ１レーシング,坂東牧場,,
2026/03/07,G2,報知杯フィリーズレビュー,阪神,芝1400m,ギリーズボール,エピファネイア,フロアクラフト,フジキセキ,キャロットファーム,ノーザンファーム,,
2026/03/08,,3歳1勝クラス,中山,芝1600m,ディールメーカー,イスラボニータ,アームズレングス,ホワイトマズル,諸江　幸祐,社台ファーム,,
2026/03/08,,3歳1勝クラス,阪神,ダ1800m,ペンダント,オルフェーヴル,スパイラルステップ,シンボリクリスエス,石川　達絵,レイクヴィラファーム,,
2026/03/08,,3歳未勝利,中山,芝1800m,ラベルセーヌ,キズナ,ラフォルス,Power,サンデーレーシング,社台コーポレーション白老ファーム,,
2026/03/08,,4歳上1勝クラス,阪神,芝2000m,アスクコモンタレヴ,キズナ,ベストセラーアスク,キングカメハメハ,廣崎　利洋,ＡＳＫ　ＳＴＵＤ,,
2026/03/08,,4歳上2勝クラス,中山,芝1200m,ポッドロワール,レイデオロ,レディヴァルール,Multiplex,小川　眞査雄,スマイルファーム,"2,200万円（ＪＲＡブリーズアップセール）",
2026/03/08,,4歳上2勝クラス,阪神,ダ1800m,ルクスフレンジー,モーリス,サトノアイリ,ステイゴールド,ルクス,千代田牧場,,
2026/03/08,,アルメリア賞（3歳1勝クラス）,阪神,芝1800m,カフジエメンタール,ポエティックフレア,パンデリング,キングカメハメハ,加藤　千豊,レイクヴィラファーム,"5,500万円（セレクトセール）",
2026/03/08,G2,報知杯弥生賞ディープインパクト記念,中山,芝2000m,バステール,キタサンブラック,マンビア,Aldebaran,シルクレーシング,ノーザンファーム,,
2026/03/08,,湾岸ステークス（4歳以上3勝クラス）,中山,芝2500m,マイユニバース,レイデオロ,チャーチクワイア,ネオユニヴァース,寺田　寿男,ノーザンファーム,"9,020万円（セレクトセール）",
2026/03/08,,障害4歳上未勝利,中山,障2880m,バルサムノート,モーリス,エピセアローム,ダイワメジャー,吉田　勝己,ノーザンファーム,,
2026/03/14,,3歳1勝クラス,中山,ダ1800m,サンダーヴィント,アドマイヤマーズ,ジェラスガール,Petionville,嶋田　一成,三嶋牧場,,
2026/03/14,,3歳未勝利,中京,ダ1900m,アビラーシャ,アドマイヤマーズ,サンカルパ２,True Cause,インゼルレーシング,ノーザンファーム,"9,240万円（セレクトセール）",
2026/03/14,,3歳未勝利,中山,ダ1800m,イナズマダイモン,クリソベリル,パリスビキニ,Bernardini,藤田　晋,ノーザンファーム,"11,000万円（セレクトセール）",
2026/03/14,,3歳未勝利,中山,ダ1800m,エイシンニラク,サトノクラウン,エイシンヘケト,エイシンアポロン,栄進堂,信田牧場,,
2026/03/14,,3歳未勝利,阪神,芝1800m,エンネ,キズナ,ルパン２,Medaglia d'Oro,谷川牧場,谷川牧場,,
2026/03/14,,3歳未勝利,阪神,ダ1800m,ゲタリア,クリソベリル,リップスポイズン,Mamool,モンレーヴ,ノーザンファーム,"9,020万円（セレクトセール）",
2026/03/14,,3歳未勝利,中山,芝1600m,ホウオウギンガ,モーリス,ホウオウヒミコ,ロードカナロア,小笹　芳央,レイクヴィラファーム,,
2026/03/14,,3歳未勝利,中京,芝2000m,ミッキージャンプ,サートゥルナーリア,オンディナドバイ,E Dubai,野田　みづき,ノーザンファーム,"8,140万円（セレクトセール）",
2026/03/14,,3歳未勝利,中山,ダ1200m,ミルトハーバー,レイデオロ,レジーナフォルテ,アルデバラン２,永山　勝敏,木村　秀則,,
2026/03/14,,3歳未勝利,中京,芝1600m,ルージュリリック,ポエティックフレア,ベアトリッツ,ディープインパクト,東京ホースレーシング,社台ファーム,,
2026/03/14,,3歳未勝利,中京,ダ1800m,ヴェールミューズ,ルヴァンスレーヴ,ゴッドビラブドミー,ブライアンズタイム,芳住　革二,芳住　鉄兵,,
2026/03/14,,4歳上1勝クラス,中京,芝1400m,カウンティフェア,サートゥルナーリア,カウントオンイット,クロフネ,飯田　正剛,千代田牧場,,
2026/03/14,,4歳上1勝クラス,阪神,ダ1400m,コーラルクラウン,サートゥルナーリア,モルジアナ,Dubawi,シルクレーシング,ノーザンファーム,,
2026/03/14,,4歳上1勝クラス,阪神,ダ1800m,フランキーバローズ,オルフェーヴル,シークレットアセット,Awesome Again,猪熊　広次,下河辺牧場,,
2026/03/14,L,アネモネステークス,中山,芝1600m,ディアダイヤモンド,サートゥルナーリア,スカイダイヤモンズ,First Dude,インゼルレーシング,ノーザンファーム,,
2026/03/14,L,コーラルステークス,阪神,ダ1400m,ジャスティンアース,キズナ,ユーヴェットシー,Bodemeister,三木　正浩,三嶋牧場,,
2026/03/14,,房総特別（4歳以上2勝クラス）,中山,芝2000m,テンミラクルスター,エピファネイア,ミスパッション,ディープブリランテ,天白　泰司,いとう牧場,"1,100万円（北海道セプテンバーセール）",
2026/03/14,,難波ステークス（4歳以上3勝クラス）,阪神,芝1800m,ジーティーアダマン,ルーラーシップ,カウニスクッカ,マンハッタンカフェ,田畑　利彦,オリオンファーム,"1,870万円（北海道セレクションセール）",
2026/03/15,,3歳1勝クラス,阪神,芝1600m,シーミハットク,オルフェーヴル,ブルーミンバー,ファルブラヴ,諸江　幸祐,社台ファーム,,
2026/03/15,,3歳未勝利,中京,ダ1800m,オオツカ,キタサンブラック,ブルーダイヤ,モーリス,中辻　明,秋田牧場,"1,705万円（北海道セプテンバーセール）",
2026/03/15,,3歳未勝利,中山,ダ1800m,スターサンサルー,キタサンブラック,スターオーストラル,Cosmic,広尾レース,レジェンドファーム,,
2026/03/15,,3歳未勝利,中山,ダ1800m,タケルムサシ,ルヴァンスレーヴ,ヒシアルコル,ダイワメジャー,森　保彦,中村　雅明,,
2026/03/15,,3歳未勝利,中山,芝2000m,ダノンファンスター,キズナ,ファンスター,Adelaide,ダノックス,ノーザンファーム,"17,600万円（セレクトセール）",
2026/03/15,,3歳未勝利,中山,ダ1200m,ブーケドリス,ロードカナロア,トワイライトライフ,ゴールドアリュール,Ｇ１レーシング,社台コーポレーション白老ファーム,,
2026/03/15,,4歳上1勝クラス,阪神,芝1600m,メイショウアボット,ドレフォン,メイショウアステカ,ルーラーシップ,松本　好隆,三嶋牧場,,
2026/03/15,,4歳上1勝クラス,中京,芝1200m,ヴェントゥーラ,サートゥルナーリア,リボンフラワー,ディープインパクト,飯田　貴大,千代田牧場,,
2026/03/15,,4歳上2勝クラス,阪神,ダ1400m,スニーカースキル,キズナ,ストリートバンド,Istan,藤田　晋,レイクヴィラファーム,"13,750万円（セレクトセール）",
2026/03/15,,ゆきやなぎ賞（3歳1勝クラス）,阪神,芝2400m,シャドウマスター,キタサンブラック,シャドウマリア,ヴィクトワールピサ,飯塚　知一,社台ファーム,,
2026/03/15,G2,フジテレビ賞スプリングステークス,中山,芝1800m,アウダーシア,キズナ,リリーノーブル,ルーラーシップ,サンデーレーシング,ノーザンファーム,,
2026/03/15,L,東風ステークス,中山,芝1600m,ヴァルキリーバース,エピファネイア,グロリアーナ,ハーツクライ,サンデーレーシング,ノーザンファーム,,
2026/03/15,,甲南ステークス（4歳以上3勝クラス）,阪神,ダ1800m,テスティモーネ,ドレフォン,ワイズアンサー,サウスヴィグラス,宮川　純造,カタオカフアーム,,
2026/03/21,,3歳1勝クラス,中山,芝1600m,スペルーチェ,レイデオロ,レーヴディソール,アグネスタキオン,窪田　芳郎,ノーザンファーム,"6,600万円（セレクトセール）",
2026/03/21,,3歳未勝利,中京,芝2000m,エイシンウィスパー,ルーラーシップ,エイシンカラット,Tale of Ekati,栄進堂,栄進牧場,,
2026/03/21,,3歳未勝利,中山,芝2200m,エーデルゼーレ,コントレイル,カラライナ,Curlin,社台レースホース,社台ファーム,,
2026/03/21,,3歳未勝利,阪神,ダ2000m,クラッチスラッガー,キズナ,レンブランサ,ヘニーヒューズ,名古屋友豊,ノーザンファーム,,
2026/03/21,,3歳未勝利,中京,ダ1800m,コルヴァス,キズナ,ペルルドール,ウィルテイクチャージ,寺田　寿男,ノースヒルズ,,
2026/03/21,,3歳未勝利,中京,ダ1900m,セルジュバローズ,サートゥルナーリア,ホワットアスポット,Arch,猪熊　広次,服部　牧場,,
2026/03/21,,3歳未勝利,阪神,ダ1400m,ポッドリプル,コントレイル,エピストロフィー,Charm Spirit,小川　眞査雄,市川フアーム,,
2026/03/21,,3歳未勝利,中山,ダ1200m,マルターズドン,ドレフォン,マルターズディオサ,キズナ,藤田　在子,天羽　禮治,,
2026/03/21,,3歳未勝利,中京,芝2000m,レイクラシック,キタサンブラック,メジロジェニファー,ホワイトマズル,長谷川　守正,レイクヴィラファーム,"4,730万円（セレクトセール）",
2026/03/21,,4歳上1勝クラス,阪神,ダ1800m,アロマフェリス,レイデオロ,アロマドゥルセ,ディープインパクト,キャロットファーム,ノーザンファーム,,
2026/03/21,,4歳上1勝クラス,中山,ダ1200m,ショウナンラリー,ナダル,ショウナンライム,ハーツクライ,湘南,静内フジカワ牧場,,
2026/03/21,,4歳上1勝クラス,中山,ダ2400m,スマートクオーレ,オルフェーヴル,スマートアリシア,ファルブラヴ,大川　徹,本間牧場,,
2026/03/21,,4歳上1勝クラス,中京,芝1600m,ベストシーン,レイデオロ,アユサン,ディープインパクト,星野　壽市,下河辺牧場,,
2026/03/21,,4歳上2勝クラス,阪神,ダ1800m,ドラゴン,マインドユアビスケッツ,ノーブルコロネット,ディープインパクト,キーファーズ,社台ファーム,"4,730万円（セレクトセール）",
2026/03/21,G3,フラワーカップ,中山,芝1800m,スマートプリエール,エピファネイア,スマートレイアー,ディープインパクト,大川　徹,ノーザンファーム,,
2026/03/21,,岡崎特別（4歳以上2勝クラス）,中京,芝1400m,ミトノオルフェ,オルフェーヴル,インヴィンシブルタッチ,Invincible Spirit,ロイヤルパーク,田中　裕之,"2,420万円（北海道サマーセール）",
2026/03/21,L,若葉ステークス,阪神,芝2000m,マテンロウゲイル,エピファネイア,デザートライド,Candy Ride,寺田　千代乃,下河辺牧場,"8,800万円（セレクトセール）",
2026/03/21,,韓国馬事会杯（4歳以上3勝クラス）,中山,ダ1800m,ルージュアベリア,キズナ,シアードラマ,Burning Roma,東京ホースレーシング,社台ファーム,,
2026/03/22,,3歳未勝利,中山,ダ1800m,イーグルロック,ナダル,カービングパス,ハービンジャー,サンデーレーシング,ノーザンファーム,,
2026/03/22,,3歳未勝利,中京,芝1600m,エンヴェロップ,ロードカナロア,エンジェリックレイ,ダイワメジャー,中村　伊三美,ケイアイファーム,,
2026/03/22,,3歳未勝利,阪神,ダ1400m,シオンダンサー,ナダル,プリンセスノンコ,Orb,前迫　義幸,社台ファーム,"3,630万円（セレクトセール）",
2026/03/22,,3歳未勝利,中京,ダ1800m,セレーノ,モーリス,アングルティール,ディープインパクト,ノースヒルズ,ノースヒルズ,,
2026/03/22,,3歳未勝利,阪神,ダ1200m,ヴォンドゥ,ルヴァンスレーヴ,キティ,Northern Afleet,ヒダカ・ブリーダーズ・ユニオン,中神牧場,,
2026/03/22,,4歳上1勝クラス,中京,芝2000m,サラスヴァティー,レイデオロ,リラヴァティ,ゼンノロブロイ,キャロットファーム,ノーザンファーム,,
2026/03/22,,4歳上2勝クラス,阪神,ダ1400m,ゲイルライダー,ドレフォン,プライムチョイス,ロードカナロア,前原　敏行,カタオカフアーム,"2,860万円（北海道セレクションセール）",
2026/03/22,,スピカステークス（4歳以上3勝クラス）,中山,芝1800m,フィーリウス,キタサンブラック,レーヴドゥラメール,ロードカナロア,落合　幸弘,ノーザンファーム,"5,060万円（セレクトセール）",
2026/03/22,G3,愛知杯,中京,芝1400m,アイサンサン,キズナ,ウアジェト,シンボリクリスエス,岡　浩二,サンデーヒルズ,,
2026/03/22,G2,阪神大賞典,阪神,芝3000m,アドマイヤテラ,レイデオロ,アドマイヤミヤビ,ハーツクライ,近藤　旬子,ノーザンファーム,,
2026/03/22,,障害4歳上未勝利,中山,障2880m,モズバンディット,ドレフォン,アマルティア,アドマイヤムーン,北側　雅司,幾千世牧場,"2,860万円（北海道セレクションセール）",
